:START_ID,jobs,:END_ID,:TYPE
7f3803fb4e924c46f03e09bdac36388d,独立董事,000023,employ_of
080ef4076fc7538ff252f31dc813ac15,独立董事,000023,employ_of
ee6593f9c64f6d23b85441a4d3be1c51,独立董事,000023,employ_of
c7cbdfd7e8c2168f8590cafeab9d3523,职工董事,000023,employ_of
ed485ab2a712cf62b253153de27f322b,董事长/董事,000024,employ_of
22ca249a0d052cc380e6cacd63bce57c,副董事长/董事,000024,employ_of
2fc50775329fc7f7fd416a89de9cfe3c,副董事长/董事,000024,employ_of
6c9c85b39cc1cc6fefd10ec18f795fa1,董事,000024,employ_of
cf037010dd10db1db9dc87ec44ae8ecc,董事,000024,employ_of
7a30af7643ab64d3a68a59b98ca7228b,董事,000024,employ_of
afa46847498174bea49d1c1c22f75192,独立董事,000024,employ_of
3dcf06ba58888299183bee26e6b69151,独立董事,000024,employ_of
8e73278cadc1abd0eae7ae1393a0c707,独立董事,000024,employ_of
8746e18e2dcb38410e2d97c604e9ec45,独立董事,000024,employ_of
2dd11381c1d47099be138040d080a9f8,独立董事,000024,employ_of
65b37072d615e8bb3d5bd04154c31d32,独立董事,000024,employ_of
b7a514679d9328c82bfbf595dc5e9bab,独立董事,000024,employ_of
1e52dc7729a57caafcaf7b2b790bb7d0,董事长/董事,000025,employ_of
43bdce2b6dbe1e25f58bbfc4ec9fca10,董事,000025,employ_of
7fcf9a8a4ec17bf90fe0e62f1054d290,董事,000025,employ_of
5a0466f31b2dc9df79c95f7b5c038d80,董事,000025,employ_of
d03b196541fed036b4bf8a5ed578f0de,董事,000025,employ_of
fbef2849d70b9ca7f8707102fb2ef7dd,董事,000025,employ_of
d525f95148a0037f4030c444e9daa715,独立董事,000025,employ_of
1202e6d6597cb70f19a0718ff7ab27bb,独立董事,000025,employ_of
6da584d15b65faa40044492a8562ebad,独立董事,000025,employ_of
ec1225fe3319df3da8139781bf0869e4,董事长/董事,000026,employ_of
b80eb285dfcae44262759ca6f6a4443a,董事,000026,employ_of
ea15f7713cd7ea09685cad6cd4f212be,董事,000026,employ_of
0383a082b4e4e90c97a3354d8e1f1043,董事,000026,employ_of
d859c4e23ba39b7a6f8bf3e3525c9ea3,董事,000026,employ_of
